01100,札幌市,2.96,910399,81474,79328,83095,41262,104045,36067,39624,84320,94709,53002,51106,162367
02201,青森市,2.98,878930,71992,90933,83349,38677,106830,38863,40288,81388,111074,56753,52644,106138
03201,盛岡市,3.15,951176,80203,78310,76514,51711,118250,42415,45655,88924,116265,56962,50279,145688
04100,仙台市,3.00,958380,70942,87815,84141,48489,120474,43636,42161,92715,120840,56234,46579,144356
05201,秋田市,2.88,900697,68139,84401,80686,42682,117898,41537,42771,84128,110346,51796,55920,120395
06201,山形市,3.19,994946,79598,74850,93770,48522,118255,47970,45053,93978,123788,55552,47554,166058
07201,福島市,3.00,961789,73184,76986,76085,48264,110835,49477,42803,95732,130933,60565,45517,151409
08201,水戸市,2.90,932200,67318,68527,75129,48425,100131,41079,41162,91464,124530,64560,33972,175902
09201,宇都宮市,2.85,982038,74050,72694,82490,46981,114270,42331,43854,86535,134460,62526,42702,179147
10201,前橋市,2.81,923714,77456,71940,67833,44449,105257,42123,41635,85507,124663,63196,37328,162328
11100,さいたま市,3.04,1038797,80828,73940,88061,49560,121177,42751,45520,94994,136386,59992,40538,205050
12100,千葉市,3.00,1030073,78500,80770,88786,50870,123233,45467,44520,89601,132954,61631,42517,191222
13100,東京都区部,2.93,1123765,81177,79327,95859,50541,125815,44229,44505,93371,148227,60640,44552,255522
14100,横浜市,2.84,1066987,82257,83487,97515,49915,127908,46446,45784,88417,137317,57294,41025,209623
15100,新潟市,3.18,958724,81705,80580,80699,49412,123792,42037,45730,79979,128075,53949,54116,138649
16201,富山市,3.17,1015186,79967,84478,85997,47090,114355,44706,42349,90791,142363,55264,47985,179840
17201,金沢市,3.24,1054782,82042,78664,92592,47146,112532,38137,44936,103653,138289,58453,44146,214192
18201,福井市,3.14,974542,82592,71420,94833,42208,110895,37995,39592,85204,143827,48599,36417,180959
19201,甲府市,2.87,946017,74069,73683,79210,44181,103251,43127,41054,83767,136846,52096,39117,175615
20201,長野市,2.95,919211,71485,76537,70382,46446,106922,39890,46745,80844,124923,51981,42402,160655
21201,岐阜市,3.14,957971,76555,67882,86207,44911,97831,37090,43128,87802,119353,53336,35942,207934
22100,静岡市,3.06,1008506,84418,82918,86853,46062,114814,35430,43909,88467,150163,54255,39126,182090
23100,名古屋市,2.99,990994,80918,71051,88557,48219,107557,39744,41683,88737,123290,53958,36931,210347
24201,津市,2.96,960858,74918,81344,99826,48060,100701,38989,43667,91964,117558,54562,33534,175738
25201,大津市,2.96,1009459,84658,85153,112756,48038,121067,39861,47076,94793,128131,51872,41661,154394
26100,京都市,2.88,975105,80628,81227,107108,48090,126585,38102,43558,82940,115475,46973,40542,163876
27100,大阪市,2.99,985502,84901,75954,102569,45887,110390,35283,41558,81185,135545,53962,41107,177162
28100,神戸市,2.83,939714,81185,66586,95092,47172,102608,35716,41588,82390,125476,50571,42495,168834
29201,奈良市,2.91,994117,78857,80969,107706,50567,115019,39922,45035,89889,120845,52975,36732,175602
30201,和歌山市,2.81,862005,77846,76442,105180,43708,94515,36522,39649,67965,102385,48421,38698,130675
31201,鳥取市,3.18,902757,79256,74586,91794,49363,100854,41859,46511,84085,113282,51448,36911,132809
32201,松江市,2.92,924350,75073,68032,83390,45284,105043,43476,46028,83387,117305,51419,41642,164270
33100,岡山市,3.09,927279,78034,68344,91999,44891,94123,37263,41982,86488,123790,56336,34577,169453
34100,広島市,3.02,972840,77531,73812,103650,49040,103520,38935,45486,82777,136366,53087,46325,162309
35203,山口市,2.99,891062,69987,71472,95153,45936,87975,33736,43552,84573,117781,51372,45618,143905
36201,徳島市,2.94,882249,74008,64318,92298,44020,91791,34300,39627,79703,117826,54967,34701,154690
37201,高松市,2.90,904147,76153,67729,91161,42466,89913,34927,42585,84326,110162,54632,36471,173622
38201,松山市,2.93,857774,72878,64490,90874,41114,88979,35129,39889,77460,123413,51643,34992,136913
39201,高知市,3.03,961760,72418,76603,88798,44480,94034,36645,42022,82581,138134,53436,48531,184078
40130,福岡市,2.95,955403,73597,74921,101149,45465,104739,35251,45253,84862,113244,52783,38018,186122
41201,佐賀市,2.93,918504,71984,70536,97084,43104,104896,32111,44025,79130,118087,51638,41203,164705
42201,長崎市,2.72,905204,75249,80676,90825,42249,100267,37909,42113,77698,114721,51497,38124,153877
43100,熊本市,3.04,870915,68314,57550,93853,39939,87560,29840,41258,78906,109466,53029,42794,168405
44201,大分市,2.82,864758,65964,64180,98332,41029,93123,35005,40282,79331,107740,49242,35076,155455
45201,宮崎市,2.92,846584,65809,61833,91435,39669,87826,33245,42621,71943,112218,52545,43787,143655
46201,鹿児島市,2.80,886950,70929,68992,95250,42532,97546,34939,44602,80530,102963,57566,35446,155654
47201,那覇市,3.02,789143,68947,44851,71987,38673,92300,32105,37483,65979,118774,55404,32315,130327
